sub,algorithm,solution,context,door,x,y,path_weight
7,hamiltonian,2,2,16,4,1,5.650281539
7,hamiltonian,2,2,14,4,3,5.650281539
7,hamiltonian,3,2,14,4,3,5.650281539
7,hamiltonian,3,2,16,4,1,5.650281539
7,hamiltonian,3,2,7,2,2,5.650281539
7,hamiltonian,3,2,2,1,3,5.650281539
7,hamiltonian,4,2,16,4,1,5.650281539
7,hamiltonian,4,2,14,4,3,5.650281539
7,hamiltonian,4,2,7,2,2,5.650281539
7,hamiltonian,4,2,2,1,3,5.650281539
8,hamiltonian,1,1,8,2,1,5.886349515999999
8,hamiltonian,1,1,15,4,2,5.886349515999999
8,hamiltonian,1,1,10,3,3,5.886349515999999
8,hamiltonian,1,1,1,1,4,5.886349515999999
8,hamiltonian,2,1,1,1,4,5.886349515999999
8,hamiltonian,2,1,10,3,3,5.886349515999999
8,hamiltonian,2,1,15,4,2,5.886349515999999
8,hamiltonian,2,1,8,2,1,5.886349515999999
8,hamiltonian,1,2,2,1,3,5.650281539
8,hamiltonian,1,2,7,2,2,5.650281539
8,hamiltonian,1,2,14,4,3,5.650281539
8,hamiltonian,1,2,16,4,1,5.650281539
8,hamiltonian,2,2,2,1,3,5.650281539
8,hamiltonian,2,2,7,2,2,5.650281539
8,hamiltonian,2,2,16,4,1,5.650281539
8,hamiltonian,2,2,14,4,3,5.650281539
8,hamiltonian,3,2,14,4,3,5.650281539
8,hamiltonian,3,2,16,4,1,5.650281539
8,hamiltonian,3,2,7,2,2,5.650281539
8,hamiltonian,3,2,2,1,3,5.650281539
8,hamiltonian,4,2,16,4,1,5.650281539
8,hamiltonian,4,2,14,4,3,5.650281539
8,hamiltonian,4,2,7,2,2,5.650281539
8,hamiltonian,4,2,2,1,3,5.650281539
9,hamiltonian,1,1,3,1,2,5.236067976999999
9,hamiltonian,1,1,2,1,3,5.236067976999999
9,hamiltonian,1,1,10,3,3,5.236067976999999
9,hamiltonian,1,1,16,4,1,5.236067976999999
9,hamiltonian,2,1,16,4,1,5.236067976999999
9,hamiltonian,2,1,10,3,3,5.236067976999999
9,hamiltonian,2,1,2,1,3,5.236067976999999
9,hamiltonian,2,1,3,1,2,5.236067976999999
9,hamiltonian,1,2,5,2,4,5.886349515999999
9,hamiltonian,1,2,14,4,3,5.886349515999999
9,hamiltonian,1,2,11,3,2,5.886349515999999
9,hamiltonian,1,2,4,1,1,5.886349515999999
9,hamiltonian,2,2,4,1,1,5.886349515999999
9,hamiltonian,2,2,11,3,2,5.886349515999999
9,hamiltonian,2,2,14,4,3,5.886349515999999
9,hamiltonian,2,2,5,2,4,5.886349515999999
10,hamiltonian,1,1,3,1,2,5.236067976999999
10,hamiltonian,1,1,2,1,3,5.236067976999999
10,hamiltonian,1,1,10,3,3,5.236067976999999
10,hamiltonian,1,1,16,4,1,5.236067976999999
10,hamiltonian,2,1,16,4,1,5.236067976999999
10,hamiltonian,2,1,10,3,3,5.236067976999999
10,hamiltonian,2,1,2,1,3,5.236067976999999
10,hamiltonian,2,1,3,1,2,5.236067976999999
10,hamiltonian,1,2,5,2,4,5.886349515999999
10,hamiltonian,1,2,14,4,3,5.886349515999999
10,hamiltonian,1,2,11,3,2,5.886349515999999
10,hamiltonian,1,2,4,1,1,5.886349515999999
10,hamiltonian,2,2,4,1,1,5.886349515999999
10,hamiltonian,2,2,11,3,2,5.886349515999999
10,hamiltonian,2,2,14,4,3,5.886349515999999
10,hamiltonian,2,2,5,2,4,5.886349515999999
11,hamiltonian,1,1,3,1,2,5.236067976999999
11,hamiltonian,1,1,2,1,3,5.236067976999999
11,hamiltonian,1,1,10,3,3,5.236067976999999
11,hamiltonian,1,1,16,4,1,5.236067976999999
11,hamiltonian,2,1,16,4,1,5.236067976999999
11,hamiltonian,2,1,10,3,3,5.236067976999999
11,hamiltonian,2,1,2,1,3,5.236067976999999
11,hamiltonian,2,1,3,1,2,5.236067976999999
11,hamiltonian,1,2,5,2,4,5.886349515999999
11,hamiltonian,1,2,14,4,3,5.886349515999999
11,hamiltonian,1,2,11,3,2,5.886349515999999
11,hamiltonian,1,2,4,1,1,5.886349515999999
11,hamiltonian,2,2,4,1,1,5.886349515999999
11,hamiltonian,2,2,11,3,2,5.886349515999999
11,hamiltonian,2,2,14,4,3,5.886349515999999
11,hamiltonian,2,2,5,2,4,5.886349515999999
12,hamiltonian,1,1,3,1,2,5.236067976999999
12,hamiltonian,1,1,2,1,3,5.236067976999999
12,hamiltonian,1,1,10,3,3,5.236067976999999
12,hamiltonian,1,1,16,4,1,5.236067976999999
12,hamiltonian,2,1,16,4,1,5.236067976999999
12,hamiltonian,2,1,10,3,3,5.236067976999999
12,hamiltonian,2,1,2,1,3,5.236067976999999
12,hamiltonian,2,1,3,1,2,5.236067976999999
12,hamiltonian,1,2,5,2,4,5.886349515999999
12,hamiltonian,1,2,14,4,3,5.886349515999999
12,hamiltonian,1,2,11,3,2,5.886349515999999
12,hamiltonian,1,2,4,1,1,5.886349515999999
12,hamiltonian,2,2,4,1,1,5.886349515999999
12,hamiltonian,2,2,11,3,2,5.886349515999999
12,hamiltonian,2,2,14,4,3,5.886349515999999
12,hamiltonian,2,2,5,2,4,5.886349515999999
13,hamiltonian,1,1,9,3,4,6.236067976999999
13,hamiltonian,1,1,1,1,4,6.236067976999999
13,hamiltonian,1,1,7,2,2,6.236067976999999
13,hamiltonian,1,1,15,4,2,6.236067976999999
13,hamiltonian,2,1,15,4,2,6.236067976999999
13,hamiltonian,2,1,7,2,2,6.236067976999999
13,hamiltonian,2,1,9,3,4,6.236067976999999
13,hamiltonian,2,1,1,1,4,6.236067976999999
13,hamiltonian,3,1,15,4,2,6.236067976999999
13,hamiltonian,3,1,7,2,2,6.236067976999999
13,hamiltonian,3,1,1,1,4,6.236067976999999
13,hamiltonian,3,1,9,3,4,6.236067976999999
13,hamiltonian,4,1,1,1,4,6.236067976999999
13,hamiltonian,4,1,9,3,4,6.236067976999999
13,hamiltonian,4,1,15,4,2,6.236067976999999
13,hamiltonian,4,1,7,2,2,6.236067976999999
13,hamiltonian,5,1,1,1,4,6.236067976999999
13,hamiltonian,5,1,9,3,4,6.236067976999999
13,hamiltonian,5,1,7,2,2,6.236067976999999
13,hamiltonian,5,1,15,4,2,6.236067976999999
13,hamiltonian,6,1,7,2,2,6.236067976999999
13,hamiltonian,6,1,15,4,2,6.236067976999999
13,hamiltonian,6,1,9,3,4,6.236067976999999
13,hamiltonian,6,1,1,1,4,6.236067976999999
13,hamiltonian,1,2,2,1,3,6
13,hamiltonian,1,2,4,1,1,6
13,hamiltonian,1,2,12,3,1,6
13,hamiltonian,1,2,10,3,3,6
13,hamiltonian,2,2,2,1,3,6
13,hamiltonian,2,2,10,3,3,6
13,hamiltonian,2,2,12,3,1,6
13,hamiltonian,2,2,4,1,1,6
13,hamiltonian,3,2,12,3,1,6
13,hamiltonian,3,2,4,1,1,6
13,hamiltonian,3,2,2,1,3,6
13,hamiltonian,3,2,10,3,3,6
13,hamiltonian,4,2,12,3,1,6
13,hamiltonian,4,2,10,3,3,6
13,hamiltonian,4,2,2,1,3,6
13,hamiltonian,4,2,4,1,1,6
13,hamiltonian,5,2,4,1,1,6
13,hamiltonian,5,2,2,1,3,6
13,hamiltonian,5,2,10,3,3,6
13,hamiltonian,5,2,12,3,1,6
13,hamiltonian,6,2,4,1,1,6
13,hamiltonian,6,2,12,3,1,6
13,hamiltonian,6,2,10,3,3,6
13,hamiltonian,6,2,2,1,3,6
13,hamiltonian,7,2,10,3,3,6
13,hamiltonian,7,2,2,1,3,6
13,hamiltonian,7,2,4,1,1,6
13,hamiltonian,7,2,12,3,1,6
13,hamiltonian,8,2,10,3,3,6
13,hamiltonian,8,2,12,3,1,6
13,hamiltonian,8,2,4,1,1,6
13,hamiltonian,8,2,2,1,3,6
14,hamiltonian,1,1,9,3,4,6.236067976999999
14,hamiltonian,1,1,1,1,4,6.236067976999999
14,hamiltonian,1,1,7,2,2,6.236067976999999
14,hamiltonian,1,1,15,4,2,6.236067976999999
14,hamiltonian,2,1,15,4,2,6.236067976999999
14,hamiltonian,2,1,7,2,2,6.236067976999999
14,hamiltonian,2,1,9,3,4,6.236067976999999
14,hamiltonian,2,1,1,1,4,6.236067976999999
14,hamiltonian,3,1,15,4,2,6.236067976999999
14,hamiltonian,3,1,7,2,2,6.236067976999999
14,hamiltonian,3,1,1,1,4,6.236067976999999
14,hamiltonian,3,1,9,3,4,6.236067976999999
14,hamiltonian,4,1,1,1,4,6.236067976999999
14,hamiltonian,4,1,9,3,4,6.236067976999999
14,hamiltonian,4,1,15,4,2,6.236067976999999
14,hamiltonian,4,1,7,2,2,6.236067976999999
14,hamiltonian,5,1,1,1,4,6.236067976999999
14,hamiltonian,5,1,9,3,4,6.236067976999999
14,hamiltonian,5,1,7,2,2,6.236067976999999
14,hamiltonian,5,1,15,4,2,6.236067976999999
14,hamiltonian,6,1,7,2,2,6.236067976999999
14,hamiltonian,6,1,15,4,2,6.236067976999999
14,hamiltonian,6,1,9,3,4,6.236067976999999
14,hamiltonian,6,1,1,1,4,6.236067976999999
14,hamiltonian,1,2,2,1,3,6
14,hamiltonian,1,2,4,1,1,6
14,hamiltonian,1,2,12,3,1,6
14,hamiltonian,1,2,10,3,3,6
14,hamiltonian,2,2,2,1,3,6
14,hamiltonian,2,2,10,3,3,6
14,hamiltonian,2,2,12,3,1,6
14,hamiltonian,2,2,4,1,1,6
14,hamiltonian,3,2,12,3,1,6
14,hamiltonian,3,2,4,1,1,6
14,hamiltonian,3,2,2,1,3,6
14,hamiltonian,3,2,10,3,3,6
14,hamiltonian,4,2,12,3,1,6
14,hamiltonian,4,2,10,3,3,6
14,hamiltonian,4,2,2,1,3,6
14,hamiltonian,4,2,4,1,1,6
14,hamiltonian,5,2,4,1,1,6
14,hamiltonian,5,2,2,1,3,6
14,hamiltonian,5,2,10,3,3,6
14,hamiltonian,5,2,12,3,1,6
14,hamiltonian,6,2,4,1,1,6
14,hamiltonian,6,2,12,3,1,6
14,hamiltonian,6,2,10,3,3,6
14,hamiltonian,6,2,2,1,3,6
14,hamiltonian,7,2,10,3,3,6
14,hamiltonian,7,2,2,1,3,6
14,hamiltonian,7,2,4,1,1,6
14,hamiltonian,7,2,12,3,1,6
14,hamiltonian,8,2,10,3,3,6
14,hamiltonian,8,2,12,3,1,6
14,hamiltonian,8,2,4,1,1,6
14,hamiltonian,8,2,2,1,3,6
15,hamiltonian,1,1,9,3,4,6.236067976999999
15,hamiltonian,1,1,1,1,4,6.236067976999999
15,hamiltonian,1,1,7,2,2,6.236067976999999
15,hamiltonian,1,1,15,4,2,6.236067976999999
15,hamiltonian,2,1,15,4,2,6.236067976999999
15,hamiltonian,2,1,7,2,2,6.236067976999999
15,hamiltonian,2,1,9,3,4,6.236067976999999
15,hamiltonian,2,1,1,1,4,6.236067976999999
15,hamiltonian,3,1,15,4,2,6.236067976999999
15,hamiltonian,3,1,7,2,2,6.236067976999999
15,hamiltonian,3,1,1,1,4,6.236067976999999
15,hamiltonian,3,1,9,3,4,6.236067976999999
15,hamiltonian,4,1,1,1,4,6.236067976999999
15,hamiltonian,4,1,9,3,4,6.236067976999999
15,hamiltonian,4,1,15,4,2,6.236067976999999
15,hamiltonian,4,1,7,2,2,6.236067976999999
15,hamiltonian,5,1,1,1,4,6.236067976999999
15,hamiltonian,5,1,9,3,4,6.236067976999999
15,hamiltonian,5,1,7,2,2,6.236067976999999
15,hamiltonian,5,1,15,4,2,6.236067976999999
15,hamiltonian,6,1,7,2,2,6.236067976999999
15,hamiltonian,6,1,15,4,2,6.236067976999999
15,hamiltonian,6,1,9,3,4,6.236067976999999
15,hamiltonian,6,1,1,1,4,6.236067976999999
15,hamiltonian,1,2,2,1,3,6
15,hamiltonian,1,2,4,1,1,6
15,hamiltonian,1,2,12,3,1,6
15,hamiltonian,1,2,10,3,3,6
15,hamiltonian,2,2,2,1,3,6
15,hamiltonian,2,2,10,3,3,6
15,hamiltonian,2,2,12,3,1,6
15,hamiltonian,2,2,4,1,1,6
15,hamiltonian,3,2,12,3,1,6
15,hamiltonian,3,2,4,1,1,6
15,hamiltonian,3,2,2,1,3,6
15,hamiltonian,3,2,10,3,3,6
15,hamiltonian,4,2,12,3,1,6
15,hamiltonian,4,2,10,3,3,6
15,hamiltonian,4,2,2,1,3,6
15,hamiltonian,4,2,4,1,1,6
15,hamiltonian,5,2,4,1,1,6
15,hamiltonian,5,2,2,1,3,6
15,hamiltonian,5,2,10,3,3,6
15,hamiltonian,5,2,12,3,1,6
15,hamiltonian,6,2,4,1,1,6
15,hamiltonian,6,2,12,3,1,6
15,hamiltonian,6,2,10,3,3,6
15,hamiltonian,6,2,2,1,3,6
15,hamiltonian,7,2,10,3,3,6
15,hamiltonian,7,2,2,1,3,6
15,hamiltonian,7,2,4,1,1,6
15,hamiltonian,7,2,12,3,1,6
15,hamiltonian,8,2,10,3,3,6
15,hamiltonian,8,2,12,3,1,6
15,hamiltonian,8,2,4,1,1,6
15,hamiltonian,8,2,2,1,3,6
16,hamiltonian,1,1,9,3,4,6.236067976999999
16,hamiltonian,1,1,1,1,4,6.236067976999999
16,hamiltonian,1,1,7,2,2,6.236067976999999
16,hamiltonian,1,1,15,4,2,6.236067976999999
16,hamiltonian,2,1,15,4,2,6.236067976999999
16,hamiltonian,2,1,7,2,2,6.236067976999999
16,hamiltonian,2,1,9,3,4,6.236067976999999
16,hamiltonian,2,1,1,1,4,6.236067976999999
16,hamiltonian,3,1,15,4,2,6.236067976999999
16,hamiltonian,3,1,7,2,2,6.236067976999999
16,hamiltonian,3,1,1,1,4,6.236067976999999
16,hamiltonian,3,1,9,3,4,6.236067976999999
16,hamiltonian,4,1,1,1,4,6.236067976999999
16,hamiltonian,4,1,9,3,4,6.236067976999999
16,hamiltonian,4,1,15,4,2,6.236067976999999
16,hamiltonian,4,1,7,2,2,6.236067976999999
16,hamiltonian,5,1,1,1,4,6.236067976999999
16,hamiltonian,5,1,9,3,4,6.236067976999999
16,hamiltonian,5,1,7,2,2,6.236067976999999
16,hamiltonian,5,1,15,4,2,6.236067976999999
16,hamiltonian,6,1,7,2,2,6.236067976999999
16,hamiltonian,6,1,15,4,2,6.236067976999999
16,hamiltonian,6,1,9,3,4,6.236067976999999
16,hamiltonian,6,1,1,1,4,6.236067976999999
16,hamiltonian,1,2,2,1,3,6
16,hamiltonian,1,2,4,1,1,6
16,hamiltonian,1,2,12,3,1,6
16,hamiltonian,1,2,10,3,3,6
16,hamiltonian,2,2,2,1,3,6
16,hamiltonian,2,2,10,3,3,6
16,hamiltonian,2,2,12,3,1,6
16,hamiltonian,2,2,4,1,1,6
16,hamiltonian,3,2,12,3,1,6
16,hamiltonian,3,2,4,1,1,6
16,hamiltonian,3,2,2,1,3,6
16,hamiltonian,3,2,10,3,3,6
16,hamiltonian,4,2,12,3,1,6
16,hamiltonian,4,2,10,3,3,6
16,hamiltonian,4,2,2,1,3,6
16,hamiltonian,4,2,4,1,1,6
16,hamiltonian,5,2,4,1,1,6
16,hamiltonian,5,2,2,1,3,6
16,hamiltonian,5,2,10,3,3,6
16,hamiltonian,5,2,12,3,1,6
16,hamiltonian,6,2,4,1,1,6
16,hamiltonian,6,2,12,3,1,6
16,hamiltonian,6,2,10,3,3,6
16,hamiltonian,6,2,2,1,3,6
16,hamiltonian,7,2,10,3,3,6
16,hamiltonian,7,2,2,1,3,6
