sub,ses,context,travelled,travelling_match,travelling_overshoot,hamiltonian_match,hamiltonian_overshoot,accuracy,metatask_accuracy,transition_counts,transition_weights,entropy,clicks,reclicks
21,2,1,8.894069078947368,0.7039473684210527,0.3175690789473685,0.3092105263157895,0.9916697368421054,0.9775219298245614,0.9978070175438597,26.666666666666668,0.517663291370188,0.8290226817936766,4.714285714285714,0.7142857142857143
21,2,2,8.96712697368421,0.6710526315789473,0.4950269736842107,0.5789473684210527,0.38033749999999983,0.9891917293233082,1,31.625,0.5140034965034965,0.7085259869817742,4.875,0.875
22,2,1,9.14246862745098,0.6078431372549019,0.5659686274509805,0.23529411764705882,1.3628908496732026,0.9690726122098671,0.9990662931839402,35,0.4137725738903116,-Inf,4.428571428571429,1
22,2,2,9.135036842105263,0.618421052631579,0.6629368421052634,0.46710526315789475,0.6868039473684208,0.9651269600282758,1,32.25,0.33766819556217276,1.0658455279241887,6.25,2.25
23,2,1,9.621733628318584,0.5132743362831859,1.0452336283185844,0.18584070796460178,1.867638053097345,0.6796461051711196,0.8484213502340712,32.75,0.3234427106746327,2.578861900958295,3.422222222222222,0.9111111111111111
23,2,2,9.446791964285714,0.5714285714285714,0.9746919642857146,0.375,0.9164401785714283,0.6852186875624375,0.8398715248045605,34.0625,0.3432472989436287,2.545934948259484,3.6382978723404253,0.8085106382978723
24,2,1,9.376506194690265,0.5752212389380531,0.8000061946902658,0.23008849557522124,1.5508867256637169,0.8324186875071831,0.9957859249894648,30.09090909090909,0.46115915796722334,1.3367834318832332,2.9565217391304346,0.08695652173913043
24,2,2,8.993966964285713,0.6428571428571429,0.5218669642857144,0.5714285714285714,0.45899910714285697,0.8233572974644403,0.997260551948052,28.272727272727273,0.4914236271071212,1.2625684726394606,3.4166666666666665,0.0625
25,2,1,8.870745098039215,0.8366013071895425,0.2942450980392158,0.19607843137254902,1.2333385620915034,0.9729638009049774,0.9855664488017429,17.375,0.5176453120727372,1.4706822404269722,8.714285714285714,4.714285714285714
25,2,2,8.80496644736842,0.8092105263157895,0.33286644736842114,0.5197368421052632,0.38562828947368405,0.976843149540518,0.9970133667502089,24.3,0.6702304147465438,0.5233573151902448,8,4
26,2,1,9.110535947712417,0.6143790849673203,0.5340359477124185,0.3660130718954248,1.0242372549019607,0.9781408859840233,0.99688764394646745,36.875,0.5560331111408856,-Inf,4,0.14285714285714285
26,2,2,8.974340131578947,0.743421052631579,0.5022401315789475,0.6907894736842105,0.3344361842105262,0.9870352965747703,1,29.25,0.6691568081466337,0.4479115816437814,6.125,2.125
27,2,1,8.763619469026548,0.8230088495575221,0.18711946902654872,0.7522123893805309,0.3128610619469027,0.9782975136957438,0.9897457508076977,12.625,0.6168650793650794,0.7841848575184276,4.044444444444444,0.044444444444444446
27,2,2,9.2614,0.5714285714285714,0.7893000000000006,0.26785714285714285,0.3106544642857139,0.9779761904761904,1,22.125,0.6960809625300732,0.19942262423309262,4.041666666666667,0.041666666666666664
28,2,1,9.09475575221239,0.6991150442477876,0.5182557522123895,0.336283185840708,1.2198858407079647,0.8806874050236883,0.990117994100295,22.818181818181817,0.4803878518541762,-Inf,3.8780487804878048,0.3902439024390244
28,2,2,9.04138482142857,0.6964285714285714,0.5692848214285716,0.5982142857142857,0.5085249999999999,0.8822150072150072,0.9923775381364667,18.133333333333333,0.5754921749305251,1.4678528603642755,4.909090909090909,1.1818181818181819
29,2,1,9.6200045751634,0.6862745098039216,0.5714045751633987,0.3137254901960784,1.02447385620915,0.9761556206192884,0.98744565699583,18.6,0.4936079911970323,1.5002279471156905,9,5
29,2,2,8.908427631578947,0.7302631578947368,0.33192763157894745,0.29605263157894735,1.0025302631578947,0.9948464912280702,0.9970394736842105,40,0.6931914608801402,-Inf,9.75,5.75
30,2,1,9.57352549019608,0.6339869281045751,0.5249254901960785,0.3137254901960784,0.8589843137254899,0.9874925727866904,0.9977718360071302,24.7,0.5905075187969925,0.6781345755607402,4.285714285714286,0.42857142857142855
30,2,2,8.892803289473683,0.756578947368421,0.31630328947368436,0.42105263157894735,0.8552078947368422,0.9862416457811195,0.9964755639097744,29.555555555555557,0.6112625022004519,-Inf,5.5,1.5
31,2,1,9.730840707964601,0.6017699115044248,0.6822407079646018,0.22123893805309736,1.23608407079646,0.8512231622851092,0.9818770462575772,29.09090909090909,0.47180540295513557,-Inf,5.209302325581396,1.627906976744186
31,2,2,9.622040178571428,0.4732142857142857,1.045540178571429,0.19642857142857142,1.7986589285714285,0.8868526314954887,0.9896411128553986,27.615384615384617,0.436232258389449,1.6242547458546421,5.636363636363637,1.9772727272727273
32,2,1,9.741985840707965,0.5929203539823009,0.6933858407079646,0.20353982300884957,1.3764061946902653,0.6619795764707269,0.9175882008846611,24.6875,0.3131492576465402,2.6963200863712817,2.8095238095238093,0.2857142857142857
