sub,context,train_type,null_llike,exp_llike,BF,entropy
67,2,2,8.178446339622766,10.170486033318994,7.330470438352591,-7.999204922651273
68,1,2,-8.712306220351529,11.490055444233867,593983241.867933,-9.922256313175922
68,2,2,-7.128843794320687,11.367509251661282,107860905.82379875,-9.489438136076387
69,1,1,-1.2133407880157705,10.8813512665702,178919.64163060993,-8.834961698624738
69,2,1,-27.19428599997208,12.789617663452646,231626756629471400,-11.195551454677087
70,1,1,-58.80138872031179,14.851039090976371,9701591347266168e16,-13.32946056804468
70,2,1,-97.69993658387571,15.710239783344875,17923127240433667e33,-14.27259540335524
71,1,2,-12.79418961658304,11.588992073762597,38858072959.00626,-9.585647900681664
71,2,2,-5.77553916644456,11.392289005980857,28568868.5995043,-9.281377981664903
72,1,2,-7.824186365444106,11.263669799916087,194872521.20926875,-9.26010438689336
72,2,2,3.1239499528167443,10.756196322079035,2063.6806055669213,-8.676238154720096
73,1,1,-5.765602651825134,11.789487248570907,42080285.05098277,-10.042592183295767
73,2,1,-4.242012955665913,11.949334714952315,10760016.763235653,-10.143714190053885
74,1,1,-4.305784392611457,11.768682962470251,9573097.27321396,-9.594363699334735
74,2,1,-26.077836380386174,13.145707185037907,108285057418587040,-11.456797948782224
75,1,2,5.745808118380509,10.219649550167105,87.69294327614442,-8.128896907027752
75,2,2,-21.1097840414087,12.25076570553567,307824135424491.9,-11.044714899313917
76,1,2,-5.9026477398804005,11.143844282061501,25304480.223217987,-9.593655611981418
76,2,2,-7.386672903622795,11.434879072135779,149312498.91125378,-9.84710914104366
77,1,1,3.8407310287249885,11.212452362755386,1590.3689845253411,-8.993656288809717
77,2,1,8.588393332899528,10.653884028615096,7.889168129024572,-8.419238314246968
78,1,1,-31.707184032093124,13.519421417880068,4381927443063686e4,-11.971002237408129
78,2,1,-38.16041893974257,13.206827443694856,2034752800516674e7,-11.805332149477437
79,1,2,0.43049855113564206,10.953653674881423,37166.203666974296,-8.92370973180563
79,2,2,0.9558217499681376,11.177357637722594,27488.853872194224,-9.36687339269038
80,1,2,2.1742326734414448,9.733446196119303,1918.336192016584,-8.003814188507867
80,2,2,5.023911524534569,10.133464083713932,165.5962437755915,-8.07651886960251
81,1,1,-92.92675637169717,16.28280545420141,2686025133227435e32,-15.51113652071433
81,2,1,-99.64417892669908,15.972373799974399,16279117800786825e34,-14.909664730052725
82,1,1,1.6670498328234515,11.233796245903676,14281.873333091944,-9.025092755241118
82,2,1,-1.1932974794566888,11.347037038011564,279381.7813847225,-9.220074304980386
83,1,2,7.0855824638655065,10.107166445122047,20.523775226011946,-7.970258554100056
83,2,2,3.6972295662162153,10.184798280092288,656.9242492394803,-8.20861261482672
84,1,2,-65.1115209650468,14.583251317180114,4083192346869801e19,-13.416102158858763
84,2,2,-21.77411197113888,12.824745096055722,1061922210780032.6,-11.194634925617976
85,1,1,-32.52000928512851,12.674029753644625,4241522444468217e4,-10.994210233296371
85,2,1,-25.941523031476677,12.796888742628575,66662020249569120,-11.246771099393698
86,1,1,-97.08664302079663,16.41923097299911,1972308012800962e34,-16.38486273931892
86,2,1,-72.6127424326813,15.1994788614543,13688729819348834e22,-14.808253194097801
87,1,2,8.780867261157525,10.491305305693544,5.531383939523502,-8.274013774772968
87,2,2,3.4392225394629463,11.181112643971503,2302.8208443649914,-9.030267429088582
88,1,2,5.888908962021205,10.185656650673351,73.460488382849,-8.149776436371901
88,2,2,5.2137802869639245,10.21889956197979,149.17487493288394,-8.189727126393976
89,1,1,-2.642762039953368,12.158694166279332,2680345.350287732,-9.929111505871106
89,2,1,-14.418843942889225,12.746496888906634,627707940157.6659,-10.645404860773851
90,1,1,9.888631543292277,11.058987700370025,3.223140378386869,-8.770379566339628
90,2,1,2.1782603379211594,11.587259177671712,12197.653055928955,-9.36246420928282
91,1,2,6.788272019574535,9.947419255354987,23.550504336139735,-7.865528084058056
91,2,2,3.7246285404043107,10.222450658119008,663.694609160336,-8.1987005319369
92,1,2,-5.053950299138769,11.054166343310357,9900706.165892813,-9.396760644794114
92,2,2,5.3750859587162125,10.428924467576351,156.62250900003576,-8.319230612693843
93,1,1,-9.034809434963776,12.265962252174873,1781589334.0046642,-10.12120593719348
93,2,1,-7.254884423382663,12.269738813127276,301603330.40980595,-10.234526860272751
94,1,1,9.900532959023423,10.368449630721045,1.5966643498138582,-8.139208397657683
94,2,1,8.580196565695374,10.500185811659037,6.820885116849936,-8.284454190421926
95,1,2,0.3213499925383516,10.361526405204657,22929.42760129764,-8.427993336409152
95,2,2,-6.0745915203048995,10.574975719352786,17014342.786888245,-8.853602038240204
96,1,2,-1.2582568407390369,10.694477560855447,155241.0581367773,-8.781625154701416
96,2,2,-4.826508307064351,11.130019376289333,8508087.0207065,-9.792342850270018
97,1,1,3.5580400180198524,11.531330515971874,2902.391983672837,-9.326064753710398
97,2,1,-8.202358082693493,12.231736839625796,748884199.2002511,-10.095338309267959
