"","sub","mu_z","gmu","gsd"
"91",91,-6.4884061079865,-13.927949430099,25.7013883972259
"92",92,-9.12686837570612,-13.927949430099,25.7013883972259
"93",93,-1.16965144876371,-13.927949430099,25.7013883972259
"94",94,-3.8902431121672,-13.927949430099,25.7013883972259
"95",95,-73.5059391229168,-13.927949430099,25.7013883972259
"96",96,-1.58381478601342,-13.927949430099,25.7013883972259
"97",97,-2.53331988634565,-13.927949430099,25.7013883972259
"98",98,-22.2003928535884,-13.927949430099,25.7013883972259
"99",99,-10.2177215974285,-13.927949430099,25.7013883972259
"100",100,-3.67698423368407,-13.927949430099,25.7013883972259
