sub,ses,subses,context,switch,train_type,transfer,full_transfer_first,original_house,n_clicks,n_cc,n_oc,n_lc,n_nc,setting_sticks,setting_slips,context_changes,accuracy,setting_errors,general_errors,learned_setting_errors,rt,win,rt_correct,transition_probabilities
52,2,1,1,1,2,NA,NA,NA,5.590909090909091,2.3636363636363638,3.1363636363636362,NA,0.09090909090909091,0,0.2727272727272727,0.8636363636363636,0.4257936507936508,0.5651154401154401,0.009090909090909092,NA,2.286409090909091,0.36363636363636365,0.3,NA
52,2,1,2,0,2,NA,NA,NA,3.5849056603773586,2.4339622641509435,0.9622641509433962,NA,0.18867924528301888,0.018867924528301886,0.4716981132075472,1.320754716981132,0.8186674960259865,0.16913055497961157,0.012201948994401824,NA,0.5997924528301887,0.7358490566037735,0.4512307692307692,0.23842229199372056
52,2,1,2,1,2,NA,NA,NA,5.608695652173913,2.652173913043478,2.869565217391304,NA,0.08695652173913043,0,0.34782608695652173,1,0.49095928226363006,0.49551414768806074,0.01352657004830918,NA,2.388695652173913,0.30434782608695654,0.192,NA
52,2,2,1,0,2,NA,NA,NA,2.764705882352941,2.450980392156863,0.3137254901960784,NA,0,0.0392156862745098,0.0784313725490196,0.19607843137254902,0.9593837535014006,0.04061624649859944,0,NA,0.5477254901960784,0.9215686274509803,0.4450212765957447,0.3208020050125313
52,2,2,1,1,2,NA,NA,NA,6.08,2.28,3.8,NA,0,0,0.08,0.16,0.36,0.64,0,NA,2.40332,0.08,NA,NA
52,2,2,2,0,2,NA,NA,NA,2.603448275862069,2.3793103448275863,0.22413793103448276,NA,0,0.034482758620689655,0.10344827586206896,0.20689655172413793,0.9591133004926108,0.040886699507389164,0,NA,0.5486724137931035,0.9137931034482759,0.4955,0.32596153846153847
52,2,2,2,1,2,NA,NA,NA,6.08,2.52,3.56,NA,0,0,0.12,0.4,0.42334920634920636,0.5766507936507936,0,NA,2.44036,0.12,0.6044999999999999,NA
52,3,1,3,0,2,1,1,2,2.6,2.6,0,0,0,0,0,0,1,0,0,0,0.55485,1,0.5214102564102564,NA
52,3,2,4,0,2,2,1,NA,2.75,2.525,0.075,0.225,0.15,0,0.05,0.15,0.9583333333333334,0.010416666666666666,0.03125,0.041666666666666664,0.554125,0.925,0.47923076923076924,NA
53,1,1,1,0,NA,NA,NA,NA,3.1538461538461537,2.628205128205128,0.15384615384615385,NA,0.3717948717948718,0,0.07692307692307693,0.3076923076923077,0.9477564102564102,0.015277777777777777,0.036965811965811966,NA,1.0542435897435898,0.8846153846153846,0.83928,NA
53,1,1,1,1,NA,NA,NA,NA,4,4,0,NA,0,0,0,0,1,0,0,NA,10.583,1,10.583,NA
53,1,1,2,0,NA,NA,NA,NA,4,2.96,0.36,NA,0.68,0.06,0.16,0.7,0.8963412698412698,0.03993650793650794,0.06372222222222222,NA,1.00644,0.76,0.6734,NA
53,1,1,2,1,NA,NA,NA,NA,13,4,3,NA,6,0,1,7,0.3076923076923077,0.23076923076923078,0.46153846153846156,NA,5.317,0,NA,NA
53,1,2,1,0,NA,NA,NA,NA,2.4693877551020407,2.4693877551020407,0,NA,0,0,0,0,1,0,0,NA,0.6758163265306122,1,0.6758163265306122,NA
53,1,2,2,0,NA,NA,NA,NA,2.569620253164557,2.569620253164557,0,NA,0,0,0,0,1,0,0,NA,0.7329113924050633,0.9873417721518988,0.7329113924050633,NA
53,1,2,2,1,NA,NA,NA,NA,4,4,0,NA,0,0,0,0,1,0,0,NA,4.792,1,4.792,NA
53,2,1,1,0,1,NA,NA,NA,2.6790123456790123,2.6790123456790123,0,NA,0,0,0,0,1,0,0,NA,1.226037037037037,1,1.12875,0.4817822651448639
53,2,1,1,1,1,NA,NA,NA,6.25,2.5,3.75,NA,0,0,0,0,0.3821428571428571,0.6178571428571429,0,NA,4.7837499999999995,0,NA,NA
