"","sub","train_type","mu","sw","scs","cntx"
"84",84,2,-2.18189384405011,0.183666262879847,-0.269203591649713,0.781037732635161
"85",85,1,-2.14937006344519,-0.50379841141159,0.559793444009431,-0.617095186328513
"86",86,1,-7.17523072125695,2.59060146510485,-1.19009387633182,-1.98020938945764
"87",87,2,-2.18610200396472,-0.459853150312888,-0.569948966573387,0.610856096340074
"88",88,2,-0.0575916247931894,-0.0669947853709517,-0.0285212107261316,-0.466796729721072
"89",89,1,-26.5660685235381,-3.41681705812597e-14,-3.13756161570788e-14,1.20684527765824e-14
"90",90,1,-2.97285294304434,0.110812648462566,-0.278993389841946,1.1418251176487
"91",91,2,-2.32434285688609,-0.137576114312729,-0.30256620056144,0.746996944056057
"92",92,2,-22.1203436934108,0.346822516252699,-6.25922376202999,29.2943336319366
"93",93,1,-2.26586465101606,-0.875958814973138,-0.455405731207823,0.0829159736030955
"94",94,1,-0.173871899687839,0.119945521382322,0.152028628615522,-0.735554248215046
"95",95,2,-0.855812355361121,-0.352042569735069,-0.324175775713513,0.753746875108149
"96",96,2,-0.593963534004496,-0.521832726720442,0.0204751215665364,0.465845913666847
"97",97,1,-4.33196964515455,-1.92104021975387,-0.487093605870496,0.0385680613494851
"98",98,1,-19.3439573323611,0.0944446862369866,-14.5358433702623,26.3296262907585
"99",99,2,-0.537037304881787,0.539039548731325,0.388061429820224,0.303303189842725
"100",100,2,-1.84203201311304,-0.261929777982009,0.137303219417789,0.158880012720791
