sub,ses,context,switch,train_type,transfer,full_transfer_first,original_house,t,n_clicks,n_cc,n_oc,n_lc,n_nc,setting_sticks,setting_slips,context_changes,accuracy,setting_errors,general_errors,learned_setting_errors,rt,win,rt_correct,transition_probabilities
4,1,1,0,NA,NA,NA,NA,135.8284518828452,4.836820083682008,2.7489539748953975,0.6569037656903766,NA,1.4309623430962344,0.07112970711297072,0.34309623430962344,1.4393305439330544,0.7568429660435179,0.07674208659917302,0.1664149473573091,NA,1.6077824267782426,0.6317991631799164,0.7185555555555555,NA
4,1,1,1,NA,NA,NA,NA,297,7,2,2,NA,3,0,1,4,0.2857142857142857,0.2857142857142857,0.42857142857142855,NA,4.509,0,NA,NA
4,1,2,0,NA,NA,NA,NA,280.43283582089555,3.6492537313432836,3.171641791044776,0.1791044776119403,NA,0.29850746268656714,0.007462686567164179,0.05223880597014925,0.417910447761194,0.9702956971043151,0.012492221665417618,0.017212081230267295,NA,0.4891940298507463,0.835820895522388,0.431515625,NA
4,1,2,1,NA,NA,NA,NA,269,5.5,2,1,NA,2.5,0,0.5,2.5,0.65,0.1,0.25,NA,1.8425,0.5,1.901,NA
4,2,1,0,2,NA,NA,NA,168.46902654867256,5.761061946902655,3.1238938053097347,2.415929203539823,NA,0.22123893805309736,0.2920353982300885,0.6548672566371682,2.5929203539823007,0.6776488976373547,0.30507146331501855,0.017279639047626735,NA,1.1834424778761061,0.4778761061946903,0.6317142857142857,0.3208020050125313
4,2,1,1,2,NA,NA,NA,167.70212765957447,6.553191489361702,3,3.0851063829787235,NA,0.46808510638297873,0,0.2765957446808511,1.3617021276595744,0.5661562432839029,0.4108025544195757,0.023041202296521446,NA,2.0086382978723405,0.40425531914893614,0.6176,NA
4,2,2,0,2,NA,NA,NA,146.41071428571428,4.446428571428571,2.7142857142857144,1.6160714285714286,NA,0.11607142857142858,0.25,0.5178571428571429,1.6517857142857142,0.7656010699734439,0.2289586289061079,0.005440301120448179,NA,0.8926785714285714,0.6696428571428571,0.4770357142857143,0.32596153846153847
4,2,2,1,2,NA,NA,NA,167.5625,7.083333333333333,2.7916666666666665,3.6666666666666665,NA,0.625,0,0.5416666666666666,1.9166666666666667,0.4617021449537073,0.4942258429626685,0.044072012083624164,NA,2.394833333333333,0.375,0.47154545454545455,NA
4,3,3,0,2,1,1,2,20.5,3.35,2.9,0.225,0.425,0.225,0.025,0.15,0.55,0.9362301587301587,0.036101190476190474,0.027668650793650794,0.061686507936507935,0.470275,0.75,0.3945526315789474,NA
4,3,4,0,2,2,1,NA,60.5,3.65,2.9,0.575,0.725,0.175,0.1,0.4,0.9,0.8532512626262626,0.11843434343434343,0.028314393939393938,0.1444760101010101,0.527975,0.725,0.36564705882352944,NA
5,1,1,0,NA,NA,NA,NA,67,2.8617021276595747,2.2872340425531914,0.1595744680851064,NA,0.4148936170212766,0.031914893617021274,0.0851063829787234,0.32978723404255317,0.9381501182033097,0.01894208037825059,0.042907801418439716,NA,1.3130212765957447,0.9042553191489362,0.7960909090909091,NA
5,1,1,1,NA,NA,NA,NA,102,14,3,5,NA,6,1,1,7,0.21428571428571427,0.35714285714285715,0.42857142857142855,NA,7.008,0,NA,NA
5,1,2,0,NA,NA,NA,NA,117.53571428571429,3.0952380952380953,2.619047619047619,0.16666666666666666,NA,0.30952380952380953,0,0.05952380952380952,0.30952380952380953,0.9646825396825397,0.013095238095238096,0.022222222222222223,NA,0.9494523809523809,0.9404761904761905,0.9441204819277108,NA
5,1,2,1,NA,NA,NA,NA,99,9,3.5,1.5,NA,4,0,1,4.5,0.39610389610389607,0.18831168831168832,0.41558441558441556,NA,4.3545,0,1.409,NA
5,2,1,0,1,NA,NA,NA,123.80392156862744,3.7712418300653594,2.679738562091503,0.5816993464052288,NA,0.5098039215686274,0.026143790849673203,0.23529411764705882,0.9019607843137255,0.8949560882512752,0.06841298386906743,0.03663092787965747,NA,1.201470588235294,0.8235294117647058,1.1139527027027027,0.4817822651448639
