sub,ses,context,switch,train_type,transfer,full_transfer_first,original_house,t,n_clicks,n_cc,n_oc,n_lc,n_nc,setting_sticks,setting_slips,context_changes,accuracy,setting_errors,general_errors,learned_setting_errors,rt,win,rt_correct,transition_probabilities
2,2,1,0,1,NA,NA,NA,191.76973684210526,4.019736842105263,2.7697368421052633,0.4473684210526316,NA,0.8026315789473685,0.019736842105263157,0.14473684210526316,0.6710526315789473,0.8806651590368696,0.036271522702443756,0.08306331826068668,NA,0.4572763157894737,0.8092105263157895,0.3532142857142857,NA
2,2,1,1,1,NA,NA,NA,186,14.333333333333334,3.1666666666666665,7.666666666666667,NA,3.5,0,0,1.6666666666666667,0.20930594460006224,0.5707438530967942,0.21995020230314347,NA,4.485333333333333,0,NA,NA
2,2,2,0,1,NA,NA,NA,129.45394736842104,2.6052631578947367,2.5723684210526314,0.013157894736842105,NA,0.019736842105263157,0.006578947368421052,0.013157894736842105,0.03289473684210526,0.9945175438596491,0.0030153508771929823,0.0024671052631578946,NA,0.3129736842105263,0.9539473684210527,0.29186666666666666,NA
2,2,2,1,1,NA,NA,NA,168.375,11.75,2.25,7.5,NA,2,0,0.375,0.875,0.19088203463203463,0.6781655844155844,0.13095238095238096,NA,4.7775,0,NA,NA
2,3,1,0,1,NA,NA,NA,100.28947368421052,6.868421052631579,2.710526315789474,1.6842105263157894,NA,2.473684210526316,0.18421052631578946,0.631578947368421,3.0526315789473686,0.5381469772917141,0.17522309561783245,0.28662992709045343,NA,1.1577894736842105,0.39473684210526316,0.7096666666666667,NA
2,3,1,1,1,NA,NA,NA,72.48571428571428,4.6,2.342857142857143,1.1142857142857143,NA,1.1428571428571428,0.45714285714285713,0.5714285714285714,1.9714285714285715,0.666661433804291,0.1989726146869004,0.13436595150880865,NA,1.1980285714285714,0.6571428571428571,0.8936470588235295,NA
2,3,2,0,1,NA,NA,NA,71.675,2.85,2.425,0.15,NA,0.275,0,0.075,0.35,0.9386458333333333,0.019583333333333335,0.04177083333333333,NA,0.59285,0.95,0.5602105263157895,NA
2,3,2,1,1,NA,NA,NA,75.9,3.675,2.575,0.55,NA,0.55,0.15,0.3,1.075,0.83875,0.09604166666666666,0.06520833333333334,NA,1.033125,0.825,0.9013103448275862,NA
3,1,1,0,NA,NA,NA,NA,112.95024875621891,4.497512437810945,2.6417910447761193,0.6368159203980099,NA,1.2189054726368158,0.05472636815920398,0.2537313432835821,1.208955223880597,0.8076429785867889,0.06481927033068385,0.1275377510825272,NA,0.9049800995024876,0.736318407960199,0.49556687898089175,NA
3,1,1,1,NA,NA,NA,NA,213,1,1,0,NA,0,0,0,0,1,0,0,NA,3.925,1,3.925,NA
3,1,2,0,NA,NA,NA,NA,228.53571428571428,2.6904761904761907,2.4761904761904763,0.047619047619047616,NA,0.16666666666666666,0.023809523809523808,0.047619047619047616,0.15476190476190477,0.9638888888888889,0.011904761904761904,0.024206349206349207,NA,0.3398452380952381,0.9404761904761905,0.28717948717948716,NA
3,1,2,1,NA,NA,NA,NA,210,3.5,1.5,1,NA,1,0.5,0.5,1.5,0.6,0.2,0.2,NA,3.817,0.5,2.142,NA
3,2,1,0,2,NA,NA,NA,156.3644859813084,5.214953271028038,2.7289719626168223,1.644859813084112,NA,0.8411214953271028,0.2336448598130841,0.4672897196261682,1.7570093457943925,0.7201806070737341,0.20207758076472712,0.0777418121615388,NA,0.8941495327102804,0.5981308411214953,0.5027916666666666,NA
3,2,1,1,2,NA,NA,NA,164.0212765957447,6.829787234042553,2.74468085106383,3.1914893617021276,NA,0.8936170212765957,0,0.3191489361702128,1.297872340425532,0.47565503263250447,0.4410924911550694,0.08325247621242615,NA,2.1064468085106385,0.3404255319148936,0.41563636363636364,NA
3,2,2,0,2,NA,NA,NA,165.17117117117118,4.54954954954955,2.6396396396396398,1.3783783783783783,NA,0.5315315315315315,0.23423423423423423,0.4774774774774775,1.6486486486486487,0.7469209469209469,0.20303452803452804,0.05004452504452504,NA,0.803,0.6396396396396397,0.5198625,NA
3,2,2,1,2,NA,NA,NA,163.95833333333334,6.416666666666667,2.3958333333333335,3.25,NA,0.7708333333333334,0,0.20833333333333334,0.8541666666666666,0.4472132034632035,0.48932930495430493,0.06345749158249159,NA,2.3719375,0.375,0.8755555555555555,NA
3,3,1,0,2,NA,NA,NA,71.8048780487805,2.7804878048780486,2.731707317073171,0.04878048780487805,NA,0,0,0.04878048780487805,0.0975609756097561,0.990418118466899,0.009581881533101045,0,NA,0.5974878048780488,0.9024390243902439,0.573675,NA
