"","sid","ses","context","train_type","transfer","nclicks","k4_onset"
"278",70,3,NA,1,2,134,86
"279",71,1,1,2,NA,288,282
"280",71,1,2,2,NA,159,78
"281",71,3,NA,2,1,168,124
"282",71,3,NA,2,2,148,65
"283",72,1,1,2,NA,2187,Inf
"284",72,1,2,2,NA,1689,1650
"285",72,3,NA,2,1,138,72
"286",72,3,NA,2,2,117,47
"287",73,1,1,1,NA,115,23
"288",73,1,2,1,NA,153,50
"289",73,3,NA,1,1,97,43
"290",73,3,NA,1,2,111,39
"291",74,1,1,1,NA,139,66
"292",74,1,2,1,NA,140,61
"293",74,3,NA,1,1,127,79
"294",74,3,NA,1,2,153,Inf
"295",75,1,1,2,NA,223,158
"296",75,1,2,2,NA,143,71
"297",75,3,NA,2,1,135,55
"298",75,3,NA,2,2,114,44
"299",76,1,1,2,NA,128,Inf
"300",76,1,2,2,NA,164,82
"301",76,3,NA,2,1,101,27
"302",76,3,NA,2,2,120,39
"303",77,1,1,1,NA,466,Inf
"304",77,1,2,1,NA,188,103
"305",77,3,NA,1,1,103,57
"306",77,3,NA,1,2,183,129
"307",78,1,1,1,NA,477,422
"308",78,1,2,1,NA,370,176
"309",78,3,NA,1,1,121,54
"310",78,3,NA,1,2,137,79
"311",79,1,1,2,NA,154,88
"312",79,1,2,2,NA,123,33
"313",79,3,NA,2,1,112,27
"314",79,3,NA,2,2,165,81
"315",80,1,1,2,NA,204,115
"316",80,1,2,2,NA,161,73
"317",80,3,NA,2,1,94,41
"318",80,3,NA,2,2,112,31
"319",81,1,1,1,NA,163,89
"320",81,1,2,1,NA,129,53
"321",81,3,NA,1,1,140,45
"322",81,3,NA,1,2,130,Inf
"323",82,1,1,1,NA,161,110
"324",82,1,2,1,NA,123,56
"325",82,3,NA,1,1,149,74
"326",82,3,NA,1,2,127,55
"327",83,1,1,2,NA,146,68
"328",83,1,2,2,NA,188,105
"329",83,3,NA,2,1,119,38
"330",83,3,NA,2,2,101,51
"331",84,1,1,2,NA,109,37
"332",84,1,2,2,NA,140,51
"333",84,3,NA,2,1,131,54
"334",84,3,NA,2,2,119,28
"335",85,1,1,1,NA,293,258
"336",85,1,2,1,NA,155,154
"337",85,3,NA,1,1,126,79
"338",85,3,NA,1,2,135,124
"339",86,1,1,1,NA,125,65
"340",86,1,2,1,NA,145,67
"341",86,3,NA,1,1,116,36
"342",86,3,NA,1,2,146,78
"343",87,1,1,2,NA,237,169
"344",87,1,2,2,NA,148,60
"345",87,3,NA,2,1,103,31
"346",87,3,NA,2,2,136,61
"347",88,1,1,2,NA,176,159
"348",88,1,2,2,NA,155,Inf
"349",88,3,NA,2,1,190,Inf
"350",88,3,NA,2,2,149,Inf
"351",89,1,1,1,NA,148,80
"352",89,1,2,1,NA,150,51
"353",89,3,NA,1,1,168,96
"354",89,3,NA,1,2,126,60
"355",90,1,1,1,NA,172,81
"356",90,1,2,1,NA,173,64
"357",90,3,NA,1,1,128,44
"358",90,3,NA,1,2,121,34
"359",91,1,1,2,NA,241,197
"360",91,1,2,2,NA,138,84
"361",91,3,NA,2,1,119,55
"362",91,3,NA,2,2,99,32
"363",92,1,1,2,NA,127,43
"364",92,1,2,2,NA,132,40
"365",92,3,NA,2,1,108,23
"366",92,3,NA,2,2,101,40
"367",93,1,1,1,NA,155,95
"368",93,1,2,1,NA,134,74
"369",93,3,NA,1,1,130,43
"370",93,3,NA,1,2,121,88
"371",94,1,1,1,NA,177,107
"372",94,1,2,1,NA,174,110
"373",94,3,NA,1,1,184,Inf
"374",94,3,NA,1,2,182,Inf
"375",95,1,1,2,NA,135,60
"376",95,1,2,2,NA,152,54
"377",95,3,NA,2,1,118,55
"378",95,3,NA,2,2,120,39
"379",96,1,1,2,NA,118,51
"380",96,1,2,2,NA,156,86
"381",96,3,NA,2,1,122,49
"382",96,3,NA,2,2,120,51
"383",97,1,1,1,NA,127,68
"384",97,1,2,1,NA,180,Inf
"385",97,3,NA,1,1,129,62
"386",97,3,NA,1,2,133,127
"387",98,1,1,1,NA,141,58
"388",98,1,2,1,NA,133,25
"389",98,3,NA,1,1,101,29
"390",98,3,NA,1,2,187,Inf
"391",99,1,1,2,NA,108,69
"392",99,1,2,2,NA,107,41
"393",99,3,NA,2,1,129,66
"394",99,3,NA,2,2,106,30
"395",100,1,1,2,NA,134,63
"396",100,1,2,2,NA,168,74
"397",100,3,NA,2,1,110,47
"398",100,3,NA,2,2,103,65
